region,property,function,mailbox_email,notes
Florida,Kings Tree,Property Manager,kingsparkpm@covenantpropertyservices.com,
Florida,Kings Tree,Leasing,,confirm
Florida,Kings Tree,Maintenance,,confirm
Florida,Lakewood Oaks,Property Manager,LakewoodOaksPM@covenantpropertyservices.com,
Florida,Lakewood Oaks,Leasing,Lakewoodoaksleasing@covenantpropertyservices.com,
Florida,Lakewood Oaks,Maintenance,,confirm
Florida,Magnolia Point,Property Manager,magnoliapointpm@covenantpropertyservices.com,
Florida,Magnolia Point,Assistant PM,magnoliapointapm@covenantpropertyservices.com,
Florida,Magnolia Point,Leasing,magnoliapointleasing@covenantpropertyservices.com,
Florida,Oasis Club,Property Manager,oasisclubpm@covenantpropertyservices.com,
Florida,Oasis Club,Assistant PM,oasisclubapm@covenantpropertyservices.com,
Florida,Oasis Club,Leasing,oasisclubleasing@covenantpropertyservices.com,
Florida,Park Place,Property Manager,kingsparkpm@covenantpropertyservices.com,shared with Kings Tree
Florida,Silversmith Creek,Property Manager,SilversmithPM@covenantpropertyservices.com,PM seat vacant
Georgia,Aurora @ Twenty Seven Hundred,Property Manager,aurora2700PM@covenantpropertyservices.com,
Georgia,Aurora @ Twenty Seven Hundred,Assistant PM,aurora2700APM@covenantpropertyservices.com,
Georgia,Aurora @ Twenty Seven Hundred,Leasing,aurora2700leasing@covenantpropertyservices.com,
Georgia,Cielo @ 325,Property Manager,Cielo325PM@covenantpropertyservices.com,
Georgia,Cielo @ 325,Leasing,GALeasingFloater@covenantpropertyservices.com,GA leasing floater
North Carolina,Andover Park,Property Manager,crose@covenantpropertyservices.com,CJ Rose
North Carolina,Fields Conover,Property Manager,crose@covenantpropertyservices.com,CJ Rose (shared)
North Carolina,L Building,Property Manager,,PM seat vacant
Virginia,Lansdale Garden,Property Manager,,VA mailboxes TBD
Virginia,Lansdale Garden,Leasing,,VA mailboxes TBD
Virginia,Lansdale Garden,Maintenance,,VA mailboxes TBD
Virginia,Miramar,Property Manager,,VA mailboxes TBD
Virginia,Miramar,Leasing,,VA mailboxes TBD
Virginia,Miramar,Maintenance,,VA mailboxes TBD
Virginia,Windsor Court,Property Manager,,VA mailboxes TBD
Virginia,Windsor Court,Leasing,,VA mailboxes TBD
Virginia,Windsor Court,Maintenance,,VA mailboxes TBD
